addressLine1,city,state,zipCode,formattedAddress,squareFootage,yearBuilt,bathrooms,bedrooms,lotSize,propertyType,longitude,latitude
317 Nelson Ave,Summersville,WV,26651,"317 Nelson Ave, Summersville, WV 26651",0.0,0.0,0.0,0.0,0.0,Unknown,-80.832376,38.279164
8081 E Corte Del Joven,Tucson,AZ,85750,"8081 E Corte Del Joven, Tucson, AZ 85750",2522.0,1993.0,3.0,3.0,42658.0,Single Family,-110.819728,32.275799
34950 Hidden Pine Dr,Fraser,MI,48026,"34950 Hidden Pine Dr, Apt 319, Fraser, MI 48026",0.0,0.0,0.0,0.0,0.0,Unknown,-82.96568,42.552564
70 S Munn Ave,East Orange,NJ,7018,"70 S Munn Ave, Apt 609, East Orange, NJ 07018",778.0,1955.0,0.0,0.0,0.0,Condo,-74.212485,40.755128
302 Mapmaker Ln,Savannah,GA,31410,"302 Mapmaker Ln, Savannah, GA 31410",1291.0,1991.0,2.0,3.0,6098.0,Single Family,-81.00539,32.040255
314 W Magnolia Ave,San Antonio,TX,78212,"314 W Magnolia Ave, Apt 4, San Antonio, TX 78212",0.0,0.0,0.0,0.0,0.0,Unknown,-98.498058,29.454539
802 Carrousel Ln,Kissimmee,FL,34759,"802 Carrousel Ln, Kissimmee, FL 34759",1607.0,2002.0,2.0,3.0,8015.0,Single Family,-81.452863,28.121461
1407 S Jamestown Ave,Tulsa,OK,74112,"1407 S Jamestown Ave, Tulsa, OK 74112",1429.0,1937.0,1.0,0.0,6752.0,Single Family,-95.937807,36.142089
5590 Chemin De Vie,Atlanta,GA,30342,"5590 Chemin De Vie, Atlanta, GA 30342",1602.0,1975.0,2.5,2.0,1568.0,Condo,-84.384025,33.893856
101 S Fairview Rd,Columbia,MO,65203,"101 S Fairview Rd, Columbia, MO 65203",0.0,0.0,0.0,0.0,0.0,Unknown,-92.38116,38.953308
2025 Norcross Dr,Mesquite,TX,75149,"2025 Norcross Dr, Mesquite, TX 75149",1281.0,1986.0,2.0,3.0,4473.0,Single Family,-96.628805,32.756898
2200 Victory Ave,Dallas,TX,75219,"2200 Victory Ave, Apt 806, Dallas, TX 75219",1212.0,2007.0,1.5,1.0,53579.0,Condo,-96.809326,32.784904
7 Hawthorne St,Sumter,SC,29150,"7 Hawthorne St, Sumter, SC 29150",1083.0,1952.0,0.0,3.0,9870.0,Single Family,-80.364888,33.91711
400 E Randolph St,Chicago,IL,60601,"400 E Randolph St, Apt 2121, Chicago, IL 60601",0.0,1964.0,0.0,0.0,89298.0,Condo,-87.616151,41.883731
19038 Coton Farm Ct,Leesburg,VA,20176,"19038 Coton Farm Ct, Leesburg, VA 20176",3626.0,2002.0,4.5,4.0,12197.0,Single Family,-77.482294,39.088739
115 Queen Catherina Ct,Hutchinson Island,FL,34949,"115 Queen Catherina Ct, Hutchinson Island, FL 34949",2521.0,1980.0,2.5,3.0,13939.0,Single Family,-80.316875,27.513684
4855 E Lane Ave,Fresno,CA,93727,"4855 E Lane Ave, Apt 105, Fresno, CA 93727",0.0,0.0,0.0,0.0,0.0,Unknown,-119.73309,36.732812
10280 Spring Hill Dr,Spring Hill,FL,34608,"10280 Spring Hill Dr, Spring Hill, FL 34608",1326.0,1983.0,2.0,2.0,10000.0,Single Family,-82.55113,28.458603
13508 Milan Ave,Cleveland,OH,44112,"13508 Milan Ave, Cleveland, OH 44112",2352.0,1924.0,2.0,4.0,3395.0,Duplex-Triplex,-81.588544,41.536871
712 Thoroughbred Dr SW,Albuquerque,NM,87121,"712 Thoroughbred Dr SW, Albuquerque, NM 87121",1373.0,1996.0,2.0,3.0,5489.0,Single Family,-106.752381,35.062232
1400 Bluff Ave,Fort Smith,AR,72901,"1400 Bluff Ave, Fort Smith, AR 72901",0.0,0.0,1.0,2.0,0.0,Single Family,-94.414264,35.370012
3388 Portside Ln,Snellville,GA,30039,"3388 Portside Ln, Snellville, GA 30039",2263.0,1988.0,2.5,4.0,26136.0,Single Family,-84.034316,33.811018
PO Box 402,Tullahoma,TN,37388,"PO Box 402, Tullahoma, TN 37388",0.0,0.0,0.0,0.0,0.0,Unknown,-86.238538,35.344413
11 Old Mill Rd,Maynard,MA,1754,"11 Old Mill Rd, Maynard, MA 01754",2148.0,1950.0,2.5,3.0,50704.0,Single Family,-71.440231,42.42529
421 W 38th St,Tucson,AZ,85713,"421 W 38th St, Tucson, AZ 85713",0.0,0.0,0.0,0.0,0.0,Unknown,-110.97512,32.19019
22501 E Radcliff Dr,Aurora,CO,80015,"22501 E Radcliff Dr, Aurora, CO 80015",1871.0,2019.0,2.0,3.0,6538.0,Single Family,-104.731378,39.635776
313 Roy Ct W,Keller,TX,76248,"313 Roy Ct W, Keller, TX 76248",3886.0,2010.0,4.0,4.0,28079.0,Single Family,-97.246655,32.919091
2574 Lake Logan Rd,Canton,NC,28716,"2574 Lake Logan Rd, Canton, NC 28716",1947.0,1963.0,2.5,3.0,22751.0,Single Family,-82.917977,35.442404
1340 Waylon Ave,Gastonia,NC,28054,"1340 Waylon Ave, Gastonia, NC 28054",1401.0,2018.0,2.0,3.0,5663.0,Single Family,-81.121744,35.283143
24369 Atwood Ave,Moreno Valley,CA,92553,"24369 Atwood Ave, Moreno Valley, CA 92553",1137.0,1963.0,2.0,3.0,10890.0,Multi Family,-117.237512,33.929701
14835 E Grand St,Choctaw,OK,73020,"14835 E Grand St, Choctaw, OK 73020",2150.0,1973.0,2.0,5.0,14000.0,Single Family,-97.267908,35.496009
205 E 11th St,Colorado City,TX,79512,"205 E 11th St, Colorado City, TX 79512",1219.0,1950.0,1.0,3.0,7013.0,Single Family,-100.864734,32.397631
6301 Camp Robinson Rd,North Little Rock,AR,72118,"6301 Camp Robinson Rd, Apt 255B, North Little Rock, AR 72118",0.0,0.0,0.0,0.0,0.0,Unknown,-92.270263,34.813392
204 Took Dr,Antioch,TN,37013,"204 Took Dr, Antioch, TN 37013",2346.0,2007.0,2.5,3.0,7405.0,Single Family,-86.649131,36.059896
440 Paseo Flamenco,Rio Rico,AZ,85648,"440 Paseo Flamenco, Unit D, Rio Rico, AZ 85648",0.0,0.0,0.0,0.0,0.0,Unknown,-111.010829,31.488035
3545 E Amelia Ave,Phoenix,AZ,85018,"3545 E Amelia Ave, Phoenix, AZ 85018",1092.0,1951.0,1.0,0.0,6412.0,Single Family,-112.004452,33.494139
1749 Virginia Ave,Kingsport,TN,37664,"1749 Virginia Ave, Kingsport, TN 37664",1368.0,1943.0,2.0,0.0,48352.0,Single Family,-82.510182,36.535584
3743 Harvette Dr,Chesterfield,VA,23237,"3743 Harvette Dr, North, Chesterfield, VA 23237",2238.0,1975.0,2.5,4.0,10062.0,Single Family,-77.461512,37.425289
363 Gastin St SW,Palm Bay,FL,32908,"363 Gastin St SW, Palm Bay, FL 32908",2043.0,2006.0,2.0,3.0,10019.0,Single Family,-80.678601,27.948096
7889 Calle Oliva,Carlsbad,CA,92009,"7889 Calle Oliva, Carlsbad, CA 92009",2438.0,2002.0,3.0,3.0,5655.0,Single Family,-117.252793,33.078196
13268 Biscayne Blvd,North Miami,FL,33181,"13268 Biscayne Blvd, North Miami, FL 33181",0.0,0.0,0.0,0.0,0.0,Unknown,-80.161235,25.89793
4403 Cranbrook Dr,Indianapolis,IN,46250,"4403 Cranbrook Dr, Indianapolis, IN 46250",2548.0,1972.0,1.5,4.0,15290.0,Single Family,-86.09366,39.884688
6810 Dina Leigh Ct,Springfield,VA,22153,"6810 Dina Leigh Ct, Springfield, VA 22153",1672.0,1973.0,3.5,4.0,2850.0,Condo,-77.26119,38.768664
3912 Nw 58th St,Oklahoma City,OK,73112,"3912 Nw 58th St, Oklahoma City, OK 73112",1273.0,1957.0,1.5,3.0,7144.0,Single Family,-97.588085,35.529343
715 Benwick Dr,Brandon,MS,39047,"715 Benwick Dr, Brandon, MS 39047",1852.0,1981.0,1.0,3.0,0.0,Single Family,-90.007272,32.336292
465 Brickell Ave,Miami,FL,33131,"465 Brickell Ave, Apt 2806, Miami, FL 33131",816.0,2008.0,1.0,1.0,0.0,Condo,-80.188605,25.769084
3 Winding Way,Saddle River,NJ,7458,"3 Winding Way, Upper, Saddle River, NJ 07458",2216.0,1965.0,2.5,3.0,37897.0,Single Family,-74.079412,41.074509
5820 Campbell Creek Dr,Oklahoma City,OK,73179,"5820 Campbell Creek Dr, Oklahoma City, OK 73179",0.0,0.0,0.0,0.0,8407.0,Land,-97.66965,35.407621
116 Devonshire Dr,Swedesboro,NJ,8085,"116 Devonshire Dr, Swedesboro, NJ 08085",2273.0,2005.0,3.5,4.0,9060.0,Single Family,-75.357615,39.744168
411 Coastal Bluff Way,Summerville,SC,29486,"411 Coastal Bluff Way, Summerville, SC 29486",2948.0,2017.0,3.0,3.0,6970.0,Single Family,-80.096945,33.118866
700 Iron Bridge Rd,Cicero,IN,46034,"700 Iron Bridge Rd, Cicero, IN 46034",2854.0,1973.0,3.0,4.0,17598.0,Single Family,-86.017348,40.138537
51 Amity Rd,Biglerville,PA,17307,"51 Amity Rd, Biglerville, PA 17307",1824.0,1990.0,2.0,3.0,87120.0,Single Family,-77.377202,39.963067
16361 Saratoga Ln,Huntington Beach,CA,92649,"16361 Saratoga Ln, Huntington Beach, CA 92649",1264.0,1960.0,2.0,3.0,6180.0,Single Family,-118.038846,33.724258
11796 Longshore Way W,Naples,FL,34119,"11796 Longshore Way W, Naples, FL 34119",2889.0,1991.0,0.0,0.0,13068.0,Single Family,-81.729228,26.286869
1286 Old North Main St,Laconia,NH,3246,"1286 Old North Main St, Laconia, NH 03246",1512.0,2004.0,2.0,3.0,14898.0,Single Family,-71.481104,43.54795
3813 Lomi Lomi Dr,Holiday,FL,34691,"3813 Lomi Lomi Dr, Holiday, FL 34691",900.0,1983.0,2.0,0.0,4251.0,Manufactured,-82.750984,28.190413
1600 N Oak St,Arlington,VA,22209,"1600 N Oak St, Apt 208, Arlington, VA 22209",1095.0,0.0,2.0,2.0,0.0,Condo,-77.073392,38.892775
335 Oak Leaf Cir,Hoover,AL,35244,"335 Oak Leaf Cir, Hoover, AL 35244",1448.0,1985.0,2.0,5.0,15869.0,Single Family,-86.884128,33.332295
98 Carl Sandburg Dr,Hamilton,NJ,8690,"98 Carl Sandburg Dr, Hamilton, NJ 08690",2032.0,0.0,2.0,4.0,0.0,Single Family,-74.653832,40.216125
4339 Lacebark Ln,Naperville,IL,60564,"4339 Lacebark Ln, Naperville, IL 60564",4516.0,0.0,4.0,5.0,0.0,Single Family,-88.232852,41.682767
22100 Burbank Blvd,Woodland Hills,CA,91367,"22100 Burbank Blvd, Unit 127, Woodland Hills, CA 91367",883.0,1979.0,2.0,2.0,0.0,Condo,-118.608605,34.171432
3602 Jefferson St,Clearlake,CA,95422,"3602 Jefferson St, Clearlake, CA 95422",0.0,0.0,2.0,0.0,9583.0,Manufactured,-122.626377,38.960138
119 Allatoona Dr,Woodstock,GA,30189,"119 Allatoona Dr, Woodstock, GA 30189",1352.0,1992.0,2.0,3.0,32475.0,Single Family,-84.597627,34.162538
17440 N Tatum Blvd,Phoenix,AZ,85032,"17440 N Tatum Blvd, Apt 122, Phoenix, AZ 85032",0.0,0.0,0.0,0.0,0.0,Unknown,-111.978581,33.645363
1163 Winding Rose Way,West Palm Beach,FL,33415,"1163 Winding Rose Way, West Palm Beach, FL 33415",2047.0,2005.0,2.5,4.0,4517.0,Single Family,-80.129012,26.66067
844 Reece Ave,Nyssa,OR,97913,"844 Reece Ave, Nyssa, OR 97913",2792.0,0.0,1.0,4.0,0.0,Single Family,-117.004093,43.873532
1221 91st St,San Antonio,TX,78214,"1221 91st St, San Antonio, TX 78214",1292.0,1960.0,1.0,3.0,4443.0,Single Family,-98.478178,29.346807
105 W 9th St,Mesa,AZ,85201,"105 W 9th St, Mesa, AZ 85201",1056.0,1953.0,2.0,0.0,6560.0,Single Family,-111.833705,33.430901
245 County St,Milan,MI,48160,"245 County St, Milan, MI 48160",0.0,0.0,0.0,0.0,0.0,Unknown,-83.678677,42.0842
4201 Chestnut St,Fort Worth,TX,76137,"4201 Chestnut St, Fort Worth, TX 76137",1553.0,1983.0,2.0,3.0,8189.0,Single Family,-97.294879,32.862803
5701 Cedar Grove Rd,East New Market,MD,21631,"5701 Cedar Grove Rd, East New Market, MD 21631",1352.0,0.0,2.0,3.0,0.0,Single Family,-75.993259,38.579264
8 Clary St,Cambridge,MA,2139,"8 Clary St, Unit 8-02, Cambridge, MA 02139",873.0,0.0,1.0,3.0,0.0,Apartment,-71.098183,42.373863
54 Grove St,Cairo,NY,12413,"54 Grove St, Cairo, NY 12413",1528.0,0.0,2.0,5.0,0.0,Single Family,-73.997426,42.30215
431 Cascade Unit Surfrider A Loop,Little River,SC,29566,"431 Cascade Unit Surfrider A Loop, Lot 111, Little River, SC 29566",2470.0,0.0,3.0,3.0,0.0,Single Family,-78.653917,33.872739
1018 Granada Ave,Nashville,TN,37206,"1018 Granada Ave, Nashville, TN 37206",1163.0,0.0,2.0,2.0,0.0,Single Family,-86.749167,36.188365
1204 Ruby St,Penitas,TX,78576,"1204 Ruby St, Penitas, TX 78576",650.0,1997.0,1.0,3.0,21780.0,Single Family,-98.446036,26.263303
6697 Bunchberry Dr,Portage,MI,49024,"6697 Bunchberry Dr, Portage, MI 49024",4304.0,1998.0,5.0,0.0,31799.0,Single Family,-85.630954,42.219942
247 Park Ct,Bellwood,IL,60104,"247 Park Ct, Bellwood, IL 60104",960.0,1953.0,1.0,3.0,5000.0,Single Family,-87.881756,41.887427
775 Pershing Ave,Glen Ellyn,IL,60137,"775 Pershing Ave, Apt 2B, Glen Ellyn, IL 60137",750.0,1967.0,1.0,1.0,0.0,Apartment,-88.05423,41.857231
2320 Rosewood St,Jenison,MI,49428,"2320 Rosewood St, Jenison, MI 49428",2150.0,1978.0,2.5,4.0,16640.0,Single Family,-85.839488,42.895939
16101 S Post Oak Rd,Houston,TX,77053,"16101 S Post Oak Rd, Ste E, Houston, TX 77053",0.0,0.0,0.0,0.0,0.0,Unknown,-95.468747,29.591764
251 Oak Trl,Sedona,AZ,86336,"251 Oak Trl, Sedona, AZ 86336",1248.0,2001.0,0.0,0.0,6098.0,Manufactured,-111.72748,34.914115
713 Lowveld Dr,Murphy,TX,75094,"713 Lowveld Dr, Murphy, TX 75094",2305.0,0.0,3.0,3.0,0.0,Townhouse,-96.595364,33.032007
74290 Covered Wagon Trl,Palm Desert,CA,92260,"74290 Covered Wagon Trl, Palm Desert, CA 92260",1584.0,1958.0,2.0,2.0,11325.0,Single Family,-116.36858,33.713326
3921 San Lorenzo Ct,Oceanside,CA,92057,"3921 San Lorenzo Ct, Oceanside, CA 92057",977.0,1982.0,2.0,2.0,4221.0,Single Family,-117.321183,33.220593
4811 Sierra Madre Dr,Tampa,FL,33634,"4811 Sierra Madre Dr, Tampa, FL 33634",1323.0,1971.0,2.0,2.0,7571.0,Single Family,-82.550647,27.990727
1330 West Ave,Miami Beach,FL,33139,"1330 West Ave, Apt 2204, Miami Beach, FL 33139",1084.0,2001.0,2.0,2.0,0.0,Condo,-80.143232,25.784725
16408 Sw 95th St,Miami,FL,33196,"16408 Sw 95th St, Miami, FL 33196",2823.0,1996.0,3.0,4.0,5000.0,Single Family,-80.46138,25.677593
20 Lango Ln,Agawam,MA,1001,"20 Lango Ln, Agawam, MA 01001",1625.0,2010.0,1.0,3.0,21000.0,Single Family,-72.636954,42.083072
9723 Downey Ave,Downey,CA,90240,"9723 Downey Ave, Downey, CA 90240",6343.0,1955.0,5.0,6.0,20609.0,Single Family,-118.123379,33.955262
216 Evans Ave,Elmont,NY,11003,"216 Evans Ave, Elmont, NY 11003",778.0,1926.0,1.0,0.0,2080.0,Single Family,-73.688977,40.702182
10000 Banburry Cross Dr,Las Vegas,NV,89144,"10000 Banburry Cross Dr, Las Vegas, NV 89144",0.0,0.0,0.0,0.0,0.0,Unknown,-115.314055,36.181562
7708 Hanover Pkwy,Greenbelt,MD,20770,"7708 Hanover Pkwy, Apt 302, Greenbelt, MD 20770",1420.0,1974.0,0.0,0.0,2341.0,Condo,-76.871556,38.996198
3445 Montebello Pkwy,Cumming,GA,30028,"3445 Montebello Pkwy, Cumming, GA 30028",5366.0,2018.0,4.0,5.0,15246.0,Single Family,-84.193291,34.254628
20 Pawtucket Row,Orchard Park,NY,14127,"20 Pawtucket Row, Orchard Park, NY 14127",3145.0,1973.0,3.5,4.0,23000.0,Single Family,-78.703036,42.746414
85 Woodsedge Dr,Newington,CT,6111,"85 Woodsedge Dr, Apt 2C, Newington, CT 06111",792.0,1974.0,1.0,1.0,0.0,Condo,-72.710792,41.675138
4693 Lyndenhall Dr,Columbus,OH,43207,"4693 Lyndenhall Dr, Columbus, OH 43207",1720.0,2004.0,2.5,3.0,6098.0,Single Family,-82.990734,39.865637
22335 N 77th Pl,Scottsdale,AZ,85255,"22335 N 77th Pl, Scottsdale, AZ 85255",3012.0,1998.0,4.0,4.0,8069.0,Single Family,-111.913283,33.68893
10 Weyanoke St,Dorchester Center,MA,2124,"10 Weyanoke St, Dorchester Center, MA 02124",1152.0,1950.0,2.0,2.0,4448.0,Single Family,-71.060849,42.282428
402 W Prospect St,Fayetteville,AR,72701,"402 W Prospect St, Fayetteville, AR 72701",2618.0,2018.0,4.0,0.0,43560.0,Single Family,-94.164474,36.074028
1629 Claywood Ct,Lexington,KY,40515,"1629 Claywood Ct, Lexington, KY 40515",1102.0,1988.0,1.0,3.0,7832.0,Single Family,-84.46861,37.97101
325 Longboat Ave,Beachwood,NJ,8722,"325 Longboat Ave, Beachwood, NJ 08722",0.0,0.0,1.5,3.0,0.0,Single Family,-74.188549,39.933144
3017 8th Ave N,Texas City,TX,77590,"3017 8th Ave N, Texas City, TX 77590",1110.0,1974.0,1.5,3.0,6299.0,Single Family,-94.939804,29.392316
406 Oakhaven Dr,Smyrna,TN,37167,"406 Oakhaven Dr, Smyrna, TN 37167",2448.0,1990.0,3.0,0.0,12768.0,Single Family,-86.486933,35.986696
24816 W Ravine Crest Dr,Lake Villa,IL,60046,"24816 W Ravine Crest Dr, Lake Villa, IL 60046",1000.0,1934.0,1.0,3.0,8533.0,Single Family,-88.117335,42.436037
653 Thornwood Dr,Southaven,MS,38671,"653 Thornwood Dr, Southaven, MS 38671",1302.0,2000.0,0.0,3.0,8400.0,Single Family,-89.978505,34.985742
689 W 5th St,Winston Salem,NC,27101,"689 W 5th St, Winston Salem, NC 27101",0.0,0.0,0.0,0.0,0.0,Unknown,-80.252929,36.09896
7720 Ave L,Houston,TX,77012,"7720 Ave L, Houston, TX 77012",824.0,1930.0,1.0,2.0,5001.0,Single Family,-95.284458,29.738366
18904 Dog Bar Rd,Grass Valley,CA,95949,"18904 Dog Bar Rd, Grass Valley, CA 95949",0.0,0.0,0.0,0.0,0.0,Land,-121.005134,39.110928
505 Evelyn Ct,Keller,TX,76248,"505 Evelyn Ct, Keller, TX 76248",4090.0,2001.0,3.0,5.0,20469.0,Single Family,-97.242634,32.908644
11322 Cottonwood Hills Rd,Cashion,OK,73016,"11322 Cottonwood Hills Rd, Cashion, OK 73016",0.0,0.0,0.0,0.0,880348.0,Land,-97.650426,35.762313
PO Box 360,East Mc Keesport,PA,15035,"PO Box 360, East Mc Keesport, PA 15035",0.0,0.0,0.0,0.0,0.0,Unknown,-79.807939,40.384373
2528 E 97th Pl,Chicago,IL,60617,"2528 E 97th Pl, Chicago, IL 60617",938.0,1947.0,1.0,2.0,4370.0,Single Family,-87.562614,41.718437
4314 Gadwall Pl,Virginia Beach,VA,23462,"4314 Gadwall Pl, Virginia Beach, VA 23462",1556.0,1978.0,2.5,4.0,1235.0,Single Family,-76.122405,36.815665
10520 Tireman St,Detroit,MI,48204,"10520 Tireman St, Detroit, MI 48204",1399.0,1939.0,2.0,0.0,4792.0,Single Family,-83.164326,42.351867
15580 Nw Linder St,Portland,OR,97229,"15580 Nw Linder St, Portland, OR 97229",1742.0,0.0,2.5,3.0,1307.0,Single Family,-122.837623,45.568441
8434 San Carlos Blvd,Fort Myers,FL,33967,"8434 San Carlos Blvd, Fort Myers, FL 33967",1190.0,1978.0,2.0,3.0,9600.0,Single Family,-81.80725,26.470135
11642 Tropical Isle Ln,Riverview,FL,33579,"11642 Tropical Isle Ln, Riverview, FL 33579",1685.0,2004.0,2.0,4.0,5686.0,Single Family,-82.297814,27.791263999999998
824 Belvedere Blvd,Charlottesville,VA,22901,"824 Belvedere Blvd, Charlottesville, VA 22901",2773.0,2009.0,4.0,4.0,6186.0,Single Family,-78.457511,38.073489
15076 Cedar Springs Dr,Biloxi,MS,39532,"15076 Cedar Springs Dr, Biloxi, MS 39532",1650.0,0.0,2.0,3.0,0.0,Single Family,-88.976431,30.505227
6919 Altair Chase,San Antonio,TX,78252,"6919 Altair Chase, San Antonio, TX 78252",2322.0,2020.0,2.5,4.0,5227.0,Single Family,-98.631954,29.349008
101 Lewis St,Harrisburg,PA,17110,"101 Lewis St, Harrisburg, PA 17110",1232.0,1962.0,1.5,3.0,2614.0,Single Family,-76.903483,40.298302
905 Mcconnell Ave,Eden,NC,27288,"905 Mcconnell Ave, Eden, NC 27288",1924.0,1932.0,1.0,0.0,30750.0,Single Family,-79.770609,36.483945
2912 Quail Run Dr,Mesquite,TX,75149,"2912 Quail Run Dr, Mesquite, TX 75149",1378.0,2000.0,2.0,3.0,4990.0,Single Family,-96.644335,32.766263
4398 Us Hwy,Four Oaks,NC,27524,"4398 Us Hwy, 301 S, Four Oaks, NC 27524",0.0,0.0,0.0,0.0,0.0,Unknown,-78.390111,35.459107
73 Coles Pond Rd,Somersworth,NH,3878,"73 Coles Pond Rd, Somersworth, NH 03878",4722.0,1999.0,2.5,4.0,109771.0,Single Family,-70.897342,43.271191
1 Newcomb St,Boston,MA,2118,"1 Newcomb St, Unit 101, Boston, MA 02118",0.0,0.0,3.0,4.0,0.0,Condo,-71.078815,42.334384
1216 Old Fairhaven Pkwy,Bellingham,WA,98225,"1216 Old Fairhaven Pkwy, Apt 102, Bellingham, WA 98225",852.0,2006.0,2.0,2.0,0.0,Condo,-122.501176,48.717007
8370 E Via,Scottsdale,AZ,85258,"8370 E Via, De Ventura Ste K150, Scottsdale, AZ 85258",0.0,0.0,0.0,0.0,0.0,Unknown,-111.900756,33.554739
2511 Dolly Bay Dr,Palm Harbor,FL,34684,"2511 Dolly Bay Dr, Apt 308, Palm Harbor, FL 34684",1818.0,1984.0,2.5,3.0,621166.0,Condo,-82.737829,28.110577
106 Knight Ln,Lancaster,PA,17602,"106 Knight Ln, Lancaster, PA 17602",2770.0,2001.0,4.0,5.0,23522.0,Single Family,-76.241409,40.016226
1808 N Vermont Ave,Royal Oak,MI,48073,"1808 N Vermont Ave, Royal Oak, MI 48073",1403.0,0.0,1.5,3.0,0.0,Single Family,-83.12909,42.504836
8194 Sawgrass Way,Radford,VA,24141,"8194 Sawgrass Way, Radford, VA 24141",0.0,0.0,0.0,0.0,31363.0,Single Family,-80.540563,37.153162
50 Columbus Dr,Jersey City,NJ,7302,"50 Columbus Dr, Apt 3308, Jersey City, NJ 07302",0.0,0.0,0.0,0.0,0.0,Unknown,-74.038828,40.718285
14223 Saltby Pl,Spring Hill,FL,34609,"14223 Saltby Pl, Spring Hill, FL 34609",1846.0,2014.0,2.0,3.0,5500.0,Single Family,-82.490132,28.441966
1107 9th St NE,Milaca,MN,56353,"1107 9th St NE, Milaca, MN 56353",1630.0,0.0,2.0,4.0,0.0,Single Family,-93.635115,45.76344
2097 Belhaven Ave,Simi Valley,CA,93063,"2097 Belhaven Ave, Simi Valley, CA 93063",1998.0,1965.0,2.0,4.0,6700.0,Single Family,-118.661687,34.273898
720 Gormley Dr,Rockville,MD,20850,"720 Gormley Dr, Rockville, MD 20850",1568.0,1971.0,2.5,0.0,1627.0,Condo,-77.181581,39.081334
904 Bedford St,Austin,TX,78702,"904 Bedford St, Apt 1206, Austin, TX 78702",0.0,0.0,0.0,0.0,0.0,Unknown,-97.707733,30.271303
7946 Golfhill Dr,Port Arthur,TX,77642,"7946 Golfhill Dr, Port Arthur, TX 77642",3334.0,2002.0,0.0,0.0,11543.0,Single Family,-93.981246,29.944325
6154 Southbend Dr S,Mobile,AL,36619,"6154 Southbend Dr S, Mobile, AL 36619",2721.0,2010.0,3.0,3.0,0.0,Single Family,-88.185226,30.584284
123 Sylvia Ct,Vallejo,CA,94591,"123 Sylvia Ct, Vallejo, CA 94591",1776.0,1982.0,2.0,3.0,7840.0,Single Family,-122.219775,38.113262
5413 Village,Roanoke,VA,24018,"5413 Village, Run, Roanoke, VA 24018",2940.0,1988.0,3.5,3.0,5663.0,Single Family,-79.981095,37.21949
176 E Kerley Corners Rd,Red Hook,NY,12571,"176 E Kerley Corners Rd, Red Hook, NY 12571",2520.0,1970.0,3.0,4.0,564102.0,Single Family,-73.832718,42.042433
2427 Parkhighland Ct,Charlotte,NC,28273,"2427 Parkhighland Ct, Charlotte, NC 28273",1418.0,1984.0,2.0,3.0,15473.0,Single Family,-80.958326,35.139791
14747 Sw 175th St,Miami,FL,33187,"14747 Sw 175th St, Miami, FL 33187",1464.0,1995.0,2.0,3.0,6527.0,Single Family,-80.430895,25.604567
1717 N Bayshore Dr,Miami,FL,33132,"1717 N Bayshore Dr, Unit A2537, Miami, FL 33132",1048.0,0.0,1.5,1.0,0.0,Condo,-80.186175,25.791536999999998
20 Maple Ave,Cambridge,MA,2139,"20 Maple Ave, Apt 1, Cambridge, MA 02139",1161.0,0.0,2.0,2.0,0.0,Condo,-71.104491,42.372208
103 Hilltop Dr,Cochranville,PA,19330,"103 Hilltop Dr, Cochranville, PA 19330",1596.0,1967.0,1.5,3.0,22779.0,Single Family,-75.91821,39.88937
2614 Blackthorne Pl,Columbus,OH,43224,"2614 Blackthorne Pl, Columbus, OH 43224",925.0,1975.0,1.0,3.0,0.0,Single Family,-82.947313,40.056332
129 Midwell Rd,Wethersfield,CT,6109,"129 Midwell Rd, Wethersfield, CT 06109",1291.0,1964.0,2.0,3.0,12632.0,Single Family,-72.679848,41.697473
5560 Chickering Ct,Bartlesville,OK,74006,"5560 Chickering Ct, Bartlesville, OK 74006",2707.0,2002.0,2.0,4.0,0.0,Single Family,-95.91521,36.761893
3633 Clearview Dr,Corinth,TX,76210,"3633 Clearview Dr, Corinth, TX 76210",1650.0,1985.0,2.0,3.0,8002.0,Single Family,-97.051511,33.13284
306 50th Ave,Bellwood,IL,60104,"306 50th Ave, Bellwood, IL 60104",1100.0,0.0,2.0,3.0,0.0,Single Family,-87.894723,41.886421
11930 Sugar Hill Dr,Midlothian,VA,23112,"11930 Sugar Hill Dr, Midlothian, VA 23112",2849.0,2007.0,3.5,5.0,23305.0,Single Family,-77.613755,37.395461
438 Cuyahoga St,Kent,OH,44240,"438 Cuyahoga St, Kent, OH 44240",1372.0,1901.0,1.0,3.0,12319.0,Single Family,-81.360944,41.159766
1175 Canyon Rd,Ogden,UT,84404,"1175 Canyon Rd, Apt 58, Ogden, UT 84404",528.0,1985.0,1.0,1.0,436.0,Condo,-111.948875,41.241789
1513 Riverside Dr,Beaufort,SC,29902,"1513 Riverside Dr, Beaufort, SC 29902",2150.0,1972.0,2.0,3.0,0.0,Single Family,-80.702655,32.3908
PO Box 1810,Tampa,FL,33601,"PO Box 1810, Tampa, FL 33601",0.0,0.0,0.0,0.0,0.0,Unknown,-82.4579,27.9498
7390 17 Mile Rd NE,Cedar Springs,MI,49319,"7390 17 Mile Rd NE, Cedar Springs, MI 49319",2300.0,0.0,1.5,4.0,0.0,Single Family,-85.486385,43.219922
7703 Snowbasin,Converse,TX,78109,"7703 Snowbasin, Converse, TX 78109",1617.0,2020.0,2.5,3.0,5532.0,Single Family,-98.338187,29.467125
